experiment_type,keyint,seg_duration,frag_duration,observed_system_time,embedded_video_time,latency_ms,notes
segment,60,2,,internet clock,OBS overlay,7000,"stable uninterrupted playback; browser inspector screenshot saved with Transfer-Encoding chunked; latency adjusted for 1s clock offset to about 7 seconds, above 5s target"
segment,60,2,,internet clock,OBS overlay,6000,"stable uninterrupted playback after dash.js liveDelay=2 refresh; browser chunked-transfer evidence already captured; adjusted latency still above 5s target"
segment,60,2,,internet clock,OBS overlay,5500,"stable uninterrupted playback with dash.js liveDelay=2 and DASH window_size=2; adjusted latency slightly above 5s target"
segment,30,1,,internet clock,OBS overlay,4000,"below 5s after refresh; initial page load stalled with BUFFER_EMPTY/PLAYBACK_WAITING and required refresh; adjusted playback latency was about 4s"
segment,30,1,,internet clock,OBS overlay,4000,"foreground playback observed stable for 1-2 minutes at about 4s adjusted latency; switching tabs/windows can trigger playback waiting, then dash.js live catchup returns near 4s"
segment,90,3,,internet clock,OBS overlay,5500,"foreground playback stable with no stalls; adjusted latency slightly above 5s target"
segment,120,4,,internet clock,OBS overlay,5500,"foreground playback stable with no stalls; adjusted latency above 5s target"
segment,150,5,,internet clock,OBS overlay,7000,"above 5s target; adjusted latency about 7s"
segment,180,6,,internet clock,OBS overlay,7500,"foreground playback stable with no stalls; adjusted latency above 5s target"
segment,30,1,,15:32:35 internet clock,15:32:31.223 OBS overlay,4000,"low resolution OBS output 852x480 bicubic, bitrate 1200 kbps, keyframe interval 1s; foreground playback no visible stalls; adjusted latency below 5s target"
fragment,120,4,0.033,internet clock,OBS overlay,5000,"low resolution OBS output 852x480, bitrate 1200 kbps, keyframe interval 4s; foreground playback stable with no stalls; adjusted latency near 5s target"
fragment,120,4,0.066,internet clock,OBS overlay,5500,"low resolution OBS output 852x480, bitrate 1200 kbps, keyframe interval 4s; foreground playback stable with no stalls; adjusted latency above 5s target"
fragment,120,4,0.1,internet clock,OBS overlay,5500,"low resolution OBS output 852x480, bitrate 1200 kbps, keyframe interval 4s; foreground playback stable with no stalls; adjusted latency above 5s target"
fragment,120,4,0.2,internet clock,OBS overlay,5500,"low resolution OBS output 852x480, bitrate 1200 kbps, keyframe interval 4s; foreground playback stable with no stalls; adjusted latency above 5s target"
fragment,120,4,0.5,internet clock,OBS overlay,6000,"low resolution OBS output 852x480, bitrate 1200 kbps, keyframe interval 4s; foreground playback stable with no stalls; adjusted latency above 5s target"
fragment,120,4,1,internet clock,OBS overlay,6000,"low resolution OBS output 852x480, bitrate 1200 kbps, keyframe interval 4s; repeated PLAYBACK_WAITING roughly every 4s; playback not stable; adjusted latency above 5s target"
fragment,120,4,2,internet clock,OBS overlay,6000,"low resolution OBS output 852x480, bitrate 1200 kbps, keyframe interval 4s; repeated PLAYBACK_WAITING and GapController jumps; playback not stable; adjusted latency above 5s target"
fragment,120,4,4,internet clock,OBS overlay,9000,"low resolution OBS output 852x480, bitrate 1200 kbps, keyframe interval 4s; repeated audio BUFFER_EMPTY/PLAYBACK_WAITING and GapController jumps; playback not stable; adjusted latency above 5s target"
